Delta,Type,value
1e-05,Original,0.5971394517282479
0.020522564102564103,Original,0.8983909415971395
0.04103512820512821,Original,0.9375744934445769
0.06154769230769231,Original,0.9529201430274136
0.08206025641025641,Original,0.9627532777115614
0.10257282051282052,Original,0.9688617401668653
0.12308538461538461,Original,0.972735399284863
0.14359794871794873,Original,0.9772050059594756
0.16411051282051284,Original,0.9792908224076281
0.18462307692307695,Original,0.9819725864123957
0.20513564102564105,Original,0.9831644815256257
0.22564820512820516,Original,0.9846543504171633
0.24616076923076924,Original,0.9856972586412396
0.2666733333333334,Original,0.9868891537544696
0.28718589743589745,Original,0.9874851013110846
0.3076984615384616,Original,0.9882300357568534
0.32821102564102567,Original,0.9894219308700835
0.34872358974358975,Original,0.990315852205006
0.3692361538461539,Original,0.9907628128724673
0.38974871794871796,Original,0.9913587604290822
0.4102612820512821,Original,0.9919547079856973
0.4307738461538462,Original,0.9925506555423123
0.4512864102564103,Original,0.9934445768772348
0.4717989743589744,Original,0.9935935637663885
0.49231153846153847,Original,0.9941895113230036
0.5128241025641025,Original,0.9949344457687723
0.5333366666666667,Original,0.9956793802145412
0.5538492307692308,Original,0.9956793802145412
0.5743617948717948,Original,0.9961263408820024
0.5948743589743589,Original,0.9985101311084624
0.6153869230769231,Original,0.99880810488677
0.6358994871794872,Original,0.9991060786650775
0.6564120512820513,Original,0.9992550655542313
0.6769246153846153,Original,0.9992550655542313
0.6974371794871794,Original,0.9994040524433849
0.7179497435897436,Original,0.9994040524433849
0.7384623076923077,Original,0.9995530393325387
0.7589748717948718,Original,0.9995530393325387
0.7794874358974359,Original,0.9995530393325387
0.8,Original,0.9995530393325387
1e-05,MNL,7.449344457687723e-06
0.020522564102564103,MNL,0.5704856972586412
0.04103512820512821,MNL,0.750834326579261
0.06154769230769231,MNL,0.8002756257449345
0.08206025641025641,MNL,0.824471096543504
0.10257282051282052,MNL,0.8402264600715137
0.12308538461538461,MNL,0.853195768772348
0.14359794871794873,MNL,0.8650327771156137
0.16411051282051284,MNL,0.8753650178784266
0.18462307692307695,MNL,0.8859728843861738
0.20513564102564105,MNL,0.8955825387365912
0.22564820512820516,MNL,0.9050879022646006
0.24616076923076924,MNL,0.9142058998808104
0.2666733333333334,MNL,0.9228545887961859
0.28718589743589745,MNL,0.9304976162097736
0.3076984615384616,MNL,0.9370902860548274
0.32821102564102567,MNL,0.9431540524433851
0.34872358974358975,MNL,0.9478694874851014
0.3692361538461539,MNL,0.9524508343265792
0.38974871794871796,MNL,0.9593265792610248
0.4102612820512821,MNL,0.9632002383790226
0.4307738461538462,MNL,0.9656287246722289
0.4512864102564103,MNL,0.967774135876043
0.4717989743589744,MNL,0.9699344457687724
0.49231153846153847,MNL,0.972280989272944
0.5128241025641025,MNL,0.9745753873659119
0.5333366666666667,MNL,0.9770783671036949
0.5538492307692308,MNL,0.9788140643623363
0.5743617948717948,MNL,0.9816224672228842
0.5948743589743589,MNL,0.9876117401668653
0.6153869230769231,MNL,0.9909192491060788
0.6358994871794872,MNL,0.9917163289630511
0.6564120512820513,MNL,0.9922973778307504
0.6769246153846153,MNL,0.9928560786650775
0.6974371794871794,MNL,0.9933402860548272
0.7179497435897436,MNL,0.9955750893921336
0.7384623076923077,MNL,0.995783671036949
0.7589748717948718,MNL,0.9959177592371871
0.7794874358974359,MNL,0.9960518474374258
0.8,MNL,0.996275327771156
1e-05,AD-MNL,7.356186552890981e-06
